Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2022-06-18 09:49:33,false,"El Dorado County Walking","7.66","1,261","03:51:45","120","166","78","248","30:16","12:14","1,565","1,450","0.68","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","15:40.23.7","8","0.0","03:09:35","03:51:45","6,595","7,875"
Cardio,2022-06-15 12:21:13,false,"Cardio","0.00","203","00:21:09","144","177","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","21:08.52.5","1","0.0","00:00:00","00:21:09","246","246"
Cardio,2022-06-14 11:50:29,false,"Cardio","0.00","275","00:46:45","118","157","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","46:44.94.7","1","0.0","00:00:00","00:46:45","194","209"
Cardio,2022-06-13 14:09:43,false,"Cardio","0.00","118","00:17:59","117","148","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","17:59.40.6","1","0.0","00:00:00","00:17:59","161","164"
Walking,2022-06-10 07:20:48,false,"Jackson County Walking","0.63","81","00:16:30","109","131","86","234","26:09","19:18","157","33","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","16:30.30.2","1","0.0","00:15:19","00:16:30","1,175","1,290"
Cardio,2022-06-08 15:32:23,false,"Cardio","0.00","199","00:20:50","144","172","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","20:49.65.7","1","0.0","00:00:00","00:20:50","283","283"
Cardio,2022-06-07 12:31:50,false,"Cardio","0.00","292","00:35:47","134","167","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","35:46.76.3","1","0.0","00:00:00","00:35:47","215","217"
Cardio,2022-06-06 12:30:10,false,"Cardio","0.00","221","00:21:08","154","172","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","21:08.43.5","1","0.0","00:00:00","00:21:08","219","219"
Cardio,2022-06-05 13:10:08,false,"Cardio","0.00","296","00:30:25","144","166","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","30:25.18.7","1","0.0","00:00:00","00:30:25","203","211"
Walking,2022-06-04 07:51:18,false,"Folsom Walking","2.29","250","00:51:37","106","128","83","141","22:35","11:09","223","72","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:38.80.4","3","0.0","00:43:09","00:51:37","234","306"
